Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Riverdale,43.6654704,-79.3525936,Lea-Ann Belter Bridal Boutique,43.662543364058735,-79.35140976055024,Bridal Shop
Riverdale,43.6654704,-79.3525936,Fit Dogs,43.662172,-79.351224,Gym / Fitness Center
Riverdale,43.6654704,-79.3525936,Discovery Walk DVP Footbridge,43.667763445796574,-79.35687133121631,Trail
Riverdale,43.6654704,-79.3525936,TTC Stop #1767,43.669714,-79.353332,Light Rail Station
Riverdale,43.6654704,-79.3525936,Sam Pollock Memorial Baseball Diamond,43.66728179012687,-79.35815334320068,Baseball Field
India Bazaar,43.6722231,-79.3235032,Udupi Palace,43.67247950462566,-79.32127455331215,Indian Restaurant
India Bazaar,43.6722231,-79.3235032,Lake Inez,43.672520212121675,-79.32071230366756,Asian Restaurant
India Bazaar,43.6722231,-79.3235032,Lahore Tikka House,43.67166839018913,-79.3247037631388,Pakistani Restaurant
India Bazaar,43.6722231,-79.3235032,Motimahal,43.672174809921415,-79.32253200796698,Indian Restaurant
India Bazaar,43.6722231,-79.3235032,Flying Pony,43.672554289580304,-79.32046357798333,Café
India Bazaar,43.6722231,-79.3235032,Maha's Fine Egyptian Cuisine,43.671757955479535,-79.3284444246658,Egyptian Restaurant
India Bazaar,43.6722231,-79.3235032,Godspeed Brewery,43.67262030152577,-79.31922849103603,Brewery
India Bazaar,43.6722231,-79.3235032,Bombay Chowpatty,43.67187525209221,-79.32411369274648,Indian Restaurant
India Bazaar,43.6722231,-79.3235032,Eulalie's Corner Store,43.67253532149764,-79.32189619176525,Bar
India Bazaar,43.6722231,-79.3235032,Hakka Wow,43.672282,-79.322126,Indian Chinese Restaurant
India Bazaar,43.6722231,-79.3235032,Lahore Paan Centre,43.67222612550265,-79.32212190790149,Snack Place
India Bazaar,43.6722231,-79.3235032,Lazy Daisy's Cafe,43.67281409083959,-79.31943769132836,Café
India Bazaar,43.6722231,-79.3235032,BJ Supermarket,43.67238943901235,-79.3213834879562,Grocery Store
India Bazaar,43.6722231,-79.3235032,Regency Restaurant,43.672118220823734,-79.3224739756517,Indian Restaurant
India Bazaar,43.6722231,-79.3235032,Centre of Gravity,43.671301448667535,-79.32711235651769,Indie Theater
India Bazaar,43.6722231,-79.3235032,Haandi 2000,43.67192914440453,-79.32366244535852,Indian Restaurant
India Bazaar,43.6722231,-79.3235032,Sideshow Cafe,43.67118996476053,-79.32705815312254,Café
India Bazaar,43.6722231,-79.3235032,Gautama,43.67215025713003,-79.32287710601119,Indian Restaurant
India Bazaar,43.6722231,-79.3235032,Subway,43.67315636311178,-79.3193818890498,Sandwich Place
India Bazaar,43.6722231,-79.3235032,Brickyard Bistro,43.670800911784156,-79.32812485994873,Bistro
India Bazaar,43.6722231,-79.3235032,New Town Restaurant,43.67287967976408,-79.31948807998097,Diner
India Bazaar,43.6722231,-79.3235032,GoodLife Fitness Toronto Coxwell and Gerrard,43.67291816962865,-79.31938153507653,Gym
India Bazaar,43.6722231,-79.3235032,Kohinoor Foods,43.672446,-79.321775,Grocery Store
India Bazaar,43.6722231,-79.3235032,Gerrard India Bazaar,43.67208555010096,-79.32340264320374,Shopping Plaza
India Bazaar,43.6722231,-79.3235032,Baldev Paan House,43.671861012130975,-79.3236844528519,Indian Restaurant
India Bazaar,43.6722231,-79.3235032,Riverdale Hub,43.67170553501084,-79.3254725443135,Art Gallery
India Bazaar,43.6722231,-79.3235032,Toronto Cash & Carry,43.671954,-79.323412,Grocery Store
India Bazaar,43.6722231,-79.3235032,Desi Burger & Chaat House,43.67170831818089,-79.32461426469615,Burger Joint
India Bazaar,43.6722231,-79.3235032,Karma's Kitchen,43.671905,-79.323117,Tibetan Restaurant
India Bazaar,43.6722231,-79.3235032,Pizza Pizza,43.67095689178965,-79.32809840356403,Pizza Place
India Bazaar,43.6722231,-79.3235032,The Redwood,43.671226,-79.327212,Theater
India Bazaar,43.6722231,-79.3235032,Daisy Mart,43.67084642733832,-79.32790979522866,Convenience Store
India Bazaar,43.6722231,-79.3235032,TTC Stop #1800,43.67523,-79.319822,Bus Stop
The Beaches West,43.6710244,-79.296712,Kew Gardens,43.66903821389327,-79.29853750338029,Park
The Beaches West,43.6710244,-79.296712,Mastermind Toys,43.67145295439717,-79.29397108948247,Toy / Game Store
The Beaches West,43.6710244,-79.296712,Kew-Balmy Beach,43.66737246215608,-79.2953124808988,Beach
The Beaches West,43.6710244,-79.296712,DAVIDsTEA,43.67016854057715,-79.29949845013677,Tea Room
The Beaches West,43.6710244,-79.296712,Castro's Lounge,43.671103559068854,-79.29510713657004,Bar
The Beaches West,43.6710244,-79.296712,The Ten Spot,43.6703404552084,-79.29936300317976,Nail Salon
The Beaches West,43.6710244,-79.296712,Sunset Grill,43.67021370116725,-79.29965336344807,Diner
The Beaches West,43.6710244,-79.296712,Kew Gardens Play Park,43.66926676521643,-79.29968375785205,Park
The Beaches West,43.6710244,-79.296712,LCBO,43.66999339203174,-79.30038317305332,Liquor Store
The Beaches West,43.6710244,-79.296712,Yumei Sushi,43.67110753520725,-79.29506363969708,Japanese Restaurant
The Beaches West,43.6710244,-79.296712,Hogtown Smoke,43.669573021423744,-79.30215071863523,BBQ Joint
The Beaches West,43.6710244,-79.296712,Sanna's Farmacia,43.670929268214614,-79.29596900939941,Juice Bar
The Beaches West,43.6710244,-79.296712,Beacher Cafe,43.67193800612107,-79.29123801741737,Breakfast Spot
The Beaches West,43.6710244,-79.296712,Coles,43.67045360766755,-79.29809417635019,Bookstore
The Beaches West,43.6710244,-79.296712,Foodland,43.670477194975255,-79.29808526746528,Supermarket
The Beaches West,43.6710244,-79.296712,COBS Bread,43.66988072784326,-79.30082792210273,Bakery
The Beaches West,43.6710244,-79.296712,Beaches International Jazz Festival,43.669992291526,-79.30034809005704,Jazz Club
The Beaches West,43.6710244,-79.296712,Pippins Tea Company,43.670992,-79.29590463638306,Tea Room
The Beaches West,43.6710244,-79.296712,The Nutty Chocolatier,43.67056725243875,-79.29759833250185,Chocolate Shop
The Beaches West,43.6710244,-79.296712,Subway,43.67101342084174,-79.29551244283176,Sandwich Place
The Beaches West,43.6710244,-79.296712,Bam Breakfast and Bistro,43.6697241195373,-79.30150262403112,Breakfast Spot
The Beaches West,43.6710244,-79.296712,Green Basil,43.67120043400348,-79.29471710812898,Thai Restaurant
The Beaches West,43.6710244,-79.296712,The Stone Lion,43.66957480420492,-79.30248270348919,Pub
The Beaches West,43.6710244,-79.296712,Shoppers Drug Mart,43.67008691684522,-79.30049667767842,Pharmacy
The Beaches West,43.6710244,-79.296712,Juice and Java,43.67106189021513,-79.29575478082984,Café
The Beaches West,43.6710244,-79.296712,Pizza Hut,43.670789,-79.29684,Pizza Place
The Beaches West,43.6710244,-79.296712,Bikkuri Japanese Restaurant,43.67071466807068,-79.29695568774969,Japanese Restaurant
The Beaches West,43.6710244,-79.296712,Souvlaki Hut,43.671048072091374,-79.29575766112751,Greek Restaurant
